First,Last,Primary,Secondary,Final,Grade
"Norman","J","Eng","PE","Math",12
"Milo","C","Art","PE","Soc",10
"Milo","D","Math","Art","Sci",9
"Milo","E","Eng","Soc","PE",11
"Milo","F","Soc","Math","Sci",9
"Milo","G","Sci","PE","Math",12
"Name","Dis","Art","Soc","Sci",11
"Wizard","Norman","Soc","Sci","Math",10
"Amadeus","Chrissy","Eng","Math","Sci",9
"Octavius","Zephyrine","Art","PE","Soc",12
"Wolfgang","Loo","PE","Eng","Sci",11
"Huck","Finn","Soc","Art","PE",10
"Puffin","Man","Math","Art","Eng",9
"Nori","Max","Sci","PE","Math",12
"Arlo","Koolaid","Eng","Soc","Art",12
"Swamp","Bore","Art","Math","Eng",9
"Bog","Splat","PE","Eng","Art",10
"Camren","Miller","Art","Math","Soc",11
"Santiago","Marcus","Sci","Soc","PE",12
"Olive","Coll","Math","Eng","Soc",11
"Bee","Hive","Sci","PE","Soc",10
"Aro","Bow","PE","Math","Eng",10
"Lia","Maxine","Sci","PE","Math",11
"Valery","Vain","Soc","Eng","Math",12
"Block","Tower","Art","PE","Sci",9
"Preschooler","Underdeveloped","Soc","Math","Sci",10
"Hose","Horse","Math","Soc","PE",11
"Hosre","Hoose","Math","Sci","Art",9
"House","Hiss","Sci","Math","PE",12
"Hiv","Hang","Art","Soc","Eng",11
"Bartholomewl","Abeson","Eng","Art","Math",10
"Elio","Vanilla","PE","Soc","Sci",9
"Ihave","Won","Math","Soc","Eng",11
"Better","Thanyou","Sci","Art","Math",10
"Gogurt","Inatube","Soc","Art","PE",12
"Lucas","Lucass","Art","PE","Eng",11
"Child","Bug","Soc","Math","Art",10
"Fight","Tothedeath","Sci","PE","Eng",9
"Idlike","Toleave","PE","Soc","Sci",12
"War","Andpeace","Art","Math","Eng",11
"Pireted","Website","Soc","Math","PE",10
"Wiki","Minesweeper","Eng","PE","Soc",9
"Jungle","James","Sci","Math","PE",12
"Random","Character","Art","Soc","Math",12
"Water","Maybe","Math","Soc","Art",11
"Drink","Morewater","Eng","Art","Math",11
"Readyto","Fight","Art","Soc","Eng",9
"Figgy","Pudding","Art","Eng","Math",10
"Im","Running","Soc","Sci","PE",9
"Names","Arehard","Math","Soc","Art",12
"Giberish","McQuid","Eng","PE","Art",11
"Arm","Hand","Math","Eng","Art",12
"Re","Start","Sci","PE","Math",11
"Sara","Star","Soc","Eng","PE",9
"William","Sparrow","Art","Sci","Soc",10
"Jessica","Sparrow","Sci","Eng","Art",12
"Chloe","Raymon","Eng","Sci","Math",10
"Ethan","Yan","Math","PE","Soc",9
"Rohit","Joshua","Art","Eng","Soc",11
"Teleporting","Fly","Sci","Math","PE",10
"Not","Intended","Math","Eng","Sci",9
"Grey","Scale","Math","Art","Soc",12
"Kitchen","Scayl","Eng","Math","Sci",11
"Baba","Isyou","Art","Soc","PE",10
"Squg","Branch","Sci","Eng","Soc",9
"Xama","Xag","Math","Art","PE",12
"Xigg","Xagg","Art","Sci","Eng",10
"Ximm","Xam","Soc","PE","Math",11
"Xob","Xib","Eng","Math","Art",9
"Xammy","Xyd","Math","Eng","Sci",10
"Ib","Bib","Soc","Sci","PE",12
"Skit","Unfunny","Eng","Math","Soc",11
"Igl","Science","Art","PE","Math",10
"Dressshirt","The","PE","Math","Art",9
"Lukas","Mini","Math","Soc","Sci",12
"Mice","Mic","Eng","PE","Sci",11
"Julian","Graham","Sci","Soc","Eng",10
"South","OfFrance","Art","Soc","Sci",9
"Bak","Mann","Eng","Art","Math",10
"Arm","Rest","Soc","Eng","PE",12
"Iggs","FLiggly","Sci","Art","Math",11
"Landowner","Landmower","Math","Soc","PE",10
"Pickle","Chaiir","Eng","PE","Art",9
"Rick","Astley","Sci","Soc","Math",10
"Sam","TheCanMan","Eng","PE","Sci",12
"Xander","McMuffin","PE","Art","Math",10
"Danny","Sigle","Sci","Eng","Soc",11
"Light","Switch","Math","PE","Art",10
"Armageddon","Sam","Math","Art","Sci",9
"Meachle","Smith","Eng","Soc","Sci",12
"Scott","Scottsman","Eng","PE","Art",11
"Sixtyfive","Yearsold","Math","Art","Soc",10
"Thawne","Prawn","Art","Math","Eng",12
"Slayerof","Pizza","Eng","PE","Math",9
"Veggie","Cooked","Sci","Eng","Soc",11
"Computer","Science","Eng","Math","Sci",9
"Juju","Jame","Art","Sci","Math",10
"Thisis","Sohard","Sci","Art","Eng",12
"Stop","Thesenames","Math","PE","Art",10
"Cole","Hateschess","Eng","Art","Sci",11
"Ludwif","Vandersnatch","Math","Soc","Eng",9
"Lunch","Four","Soc","Math","Art",11
"Fly","Away","Art","Sci","Eng",10
"Snibbles","Theterror","Eng","PE","Sci",9
"Jamesson","Jason","Art","Math","Eng",10
"Archmage","Themannn","Sci","Math","Soc",11
"Marty","Mcfly","PE","Eng","Math",12
"Wikapedia","Two","Math","Art","Eng",9
"Joe","Biden","Eng","PE","Sci",12
"Gavin","Isn'tdoingwork","Soc","Art","Math",11
"Donald","Duck","PE","Art","Math",10
"Danny","Phantom","Soc","Sci","Eng",9
"Bat","Man","Eng","Math","Art",9
"Purple","Ribbon","Art","Math","PE",12
"Elrond","TheMan","Eng","Sci","Soc",11
"Snorkle","Nose","PE","Math","Sci",10
"Plauge","Mask","Sci","Math","Eng",9
"Audio","Bok","Art","PE","Soc",11
"Rogue","One","Eng","Math","Art",10
"Ifand","When","Math","Sci","PE",12
"Darth","Armstead","Art","PE","Soc",12
"Darth","Paling","Sci","Eng","Math",9
"Lehman","Russ","PE","Eng","Sci",10
"Uni","Brow","Sci","Soc","PE",11
"Bow","Man","Math","Art","Eng",9
"League","OfVillains","Art","Eng","PE",12
"The","Godfather","PE","Art","Sci",11
"Youare","Myfather","Eng","Math","Art",9
"Internet","Provider","Soc","Eng","Math",10
"Rad","Sad","Math","Soc","Sci",12
"Grand","Piano","Eng","PE","Math",9
"Darth","Phoebe","Soc","Math","PE",10
"Englidh","Majjor","PE","Sci","Soc",11
"Erik","Elliot","Math","PE","Sci",9
"Ella","Elliot","Art","Math","PE",12
"Zanzabaar","Zimmathy","PE","Music","Sci",11
"Skimmithy","Ford","Music","Sci","PE",10
"Bolt","Ismelt","Sci","Art","Math",12
"The","Bigman","Soc","Sci","PE",10
"Jimmathy","Playgame","Eng","PE","Art",9
"Press","Thebutton","Math","Soc","Sci",10
"Self","Destruct","Art","Math","PE",12
"Library","OfSnakes","Eng","PE","Sci",12
"Congress","Dude","Math","Sci","Eng",9
"Mork","Gork","PE","Art","Eng",12
"Gorka","Morka","Sci","Math","Soc",10
"Bilbo","Baggins","Soc","Art","Math",11
"Eki","Eki","PE","Math","Art",9
"Sam","Gamgee","Math","Art","Music",10
"Sam","Bork","Sci","Music","Eng",12
"Sam","Bok","Art","PE","Sci",11
"Saaam","Bam","Math","Music","PE",11
"Slam","Bammbam","Music","Art","Sci",10
"Slimmithy","Boom","Eng","Soc","PE",9
"Exploding","Taco","Sci","Music","Math",12
"Next","Class","Math","Sci","Soc",10
"Caitlen","Moss","PE","Art","Sci",11
"Repeat","Schedule","Sci","Math","PE",9
"Rachel","Browne","Math","Sci","Art",10
"Sylvia","Silver","Sci","PE","Math",12
"Scoff","Atchildren","Soc","PE","Sci",11
"The","Adventurezone","Math","Art","Soc",10
"Magnus","Burnsides","PE","Sci","Math",11
"Alamar","Llama","Art","Soc","PE",12
"Da","Buzz","PE","Sci","Art",9
"Samas","Withwater","Art","PE","Music",9
"Inwater","Withwater","Art","Music","PE",10
"Personal","Floatationdevice","Soc","PE","Sci",11
"Am","Ork","Sci","Math","Soc",12
"Amnot","Rok","PE","Soc","Art",12
"Baba","Istelleport","Soc","Math","Sci",10
"Are","Ork","Sci","PE","Soc",9
"Time","Togo","Soc","Math","Sci",11
"Milo","Mylo","PE","Sci","Art",12
"Log","Man","Sci","Soc","Math",10
"Box","Ghost","Soc","Sci","Art",12
"Tottaly","Legal","Art","Math","PE",9
"What","Isthis","Soc","Sci","Music",9
